global_step=6, length=3, survival=0.037%, return=-2.17327019572258
global_step=8, length=1380, survival=17.113%, return=-3.0
global_step=14, length=1090, survival=13.517%, return=-2.131122410297394
global_step=26, length=806, survival=9.995%, return=-1.1938914358615875
global_step=32, length=810, survival=10.045%, return=-2.2356713116168976
global_step=36, length=530, survival=6.572%, return=1.6930629312992096
global_step=40, length=810, survival=10.045%, return=-2.6401996314525604
global_step=42, length=1082, survival=13.418%, return=-3.0
global_step=52, length=687, survival=8.519%, return=-1.4264813661575317
global_step=54, length=517, survival=6.411%, return=-3.0
global_step=56, length=379, survival=4.700%, return=-0.5967621207237244
global_step=60, length=694, survival=8.606%, return=-2.1613195836544037
global_step=64, length=959, survival=11.892%, return=-1.8296226561069489
global_step=76, length=992, survival=12.302%, return=-0.9246027171611786
global_step=82, length=396, survival=4.911%, return=-2.143922597169876
global_step=84, length=480, survival=5.952%, return=-3.0
global_step=90, length=1093, survival=13.554%, return=1.5628727078437805
global_step=100, length=408, survival=5.060%, return=-1.412010133266449
global_step=110, length=1092, survival=13.542%, return=-1.3515672981739044
global_step=118, length=4, survival=0.050%, return=-1.8839885294437408
global_step=122, length=369, survival=4.576%, return=-2.678235411643982
global_step=128, length=704, survival=8.730%, return=3.1118830740451813
global_step=134, length=996, survival=12.351%, return=-1.203346997499466
global_step=138, length=715, survival=8.867%, return=-2.6280869245529175
global_step=148, length=524, survival=6.498%, return=-1.6107404828071594
global_step=154, length=529, survival=6.560%, return=-0.7620620727539062
global_step=164, length=521, survival=6.461%, return=-1.0688510537147522
global_step=166, length=806, survival=9.995%, return=129.98392048478127
global_step=168, length=233, survival=2.889%, return=-2.577151596546173
global_step=174, length=806, survival=9.995%, return=-2.512196883559227
global_step=180, length=434, survival=5.382%, return=-2.1176717877388
global_step=182, length=961, survival=11.917%, return=0.33994969725608826
global_step=190, length=806, survival=9.995%, return=-1.4158943891525269
global_step=192, length=810, survival=10.045%, return=-1.4926972091197968
global_step=198, length=231, survival=2.865%, return=-2.1211058497428894
global_step=208, length=527, survival=6.535%, return=-0.8427355289459229
global_step=210, length=504, survival=6.250%, return=-1.3172011375427246
global_step=220, length=1010, survival=12.525%, return=137.22171473503113
global_step=240, length=976, survival=12.103%, return=0.8548111617565155
global_step=248, length=400, survival=4.960%, return=1.3054430484771729
global_step=252, length=408, survival=5.060%, return=-2.6098453998565674
global_step=264, length=800, survival=9.921%, return=-1.2884255945682526
global_step=268, length=418, survival=5.184%, return=-2.5863512754440308
global_step=272, length=526, survival=6.523%, return=1.3864606022834778
global_step=284, length=816, survival=10.119%, return=-0.4476280212402344
global_step=296, length=416, survival=5.159%, return=1.1962363123893738
global_step=300, length=1100, survival=13.641%, return=-0.5378851294517517
global_step=308, length=814, survival=10.094%, return=-1.358731061220169
global_step=312, length=680, survival=8.433%, return=-2.591318666934967
global_step=322, length=524, survival=6.498%, return=-2.3910857290029526
global_step=326, length=695, survival=8.619%, return=-2.5940723717212677
global_step=336, length=1094, survival=13.566%, return=-1.4196406304836273
global_step=340, length=520, survival=6.448%, return=-0.02332589030265808
