global_step=12204, length=614, survival=7.614%, return=31.473571553826332
global_step=12340, length=1050, survival=13.021%, return=99.84602051973343
global_step=12344, length=225, survival=2.790%, return=-2.6660997569561005
global_step=12414, length=546, survival=6.771%, return=8.45018470287323
global_step=12420, length=840, survival=10.417%, return=12.154477089643478
global_step=12492, length=978, survival=12.128%, return=218.368736743927
global_step=12584, length=1433, survival=17.770%, return=154.47951120138168
global_step=12586, length=232, survival=2.877%, return=-3.0
global_step=12590, length=230, survival=2.852%, return=-2.6600662171840668
global_step=12668, length=829, survival=10.280%, return=183.0434591472149
global_step=12698, length=1737, survival=21.540%, return=339.4495744109154
global_step=12746, length=849, survival=10.528%, return=11.597036391496658
global_step=12948, length=3118, survival=38.666%, return=1137.0821194201708
global_step=13034, length=515, survival=6.386%, return=59.631851732730865
global_step=13224, length=1049, survival=13.008%, return=107.98558780550957
global_step=13592, length=328, survival=4.067%, return=55.15651395916939
global_step=13684, length=1400, survival=17.361%, return=180.70229330658913
global_step=13768, length=727, survival=9.015%, return=14.306209102272987
global_step=13894, length=1714, survival=21.255%, return=342.8775879442692
global_step=13952, length=718, survival=8.904%, return=6.53084959089756
