
[34m[1mwandb[39m[22m: [33mWARNING[39m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=2085, length=719, survival=8.916%, return=9.654196351766586
global_step=2172, length=3427, survival=42.498%, return=1428.981365442276
global_step=2298, length=738, survival=9.152%, return=96.8945147395134
global_step=2382, length=1190, survival=14.757%, return=36.10239505767822
global_step=2433, length=586, survival=7.267%, return=265.3088943064213
global_step=2613, length=1318, survival=16.344%, return=440.3737273514271
global_step=2853, length=1112, survival=13.790%, return=45.968931302428246
global_step=2871, length=524, survival=6.498%, return=38.17505142092705
global_step=2994, length=1305, survival=16.183%, return=141.50120708346367
global_step=3000, length=720, survival=8.929%, return=16.034854233264923
global_step=3003, length=516, survival=6.399%, return=-2.3397054374217987
global_step=3066, length=733, survival=9.090%, return=8.308308839797974
global_step=3111, length=523, survival=6.486%, return=247.557698905468
global_step=3219, length=1448, survival=17.956%, return=202.87714782357216
global_step=3366, length=2552, survival=31.647%, return=972.2667314708233
global_step=3411, length=254, survival=3.150%, return=1.3284153044223785
global_step=3447, length=23, survival=0.285%, return=6.996190637350082
global_step=3453, length=228, survival=2.827%, return=-2.6624559462070465
global_step=3540, length=1010, survival=12.525%, return=145.29491552710533
global_step=3546, length=1278, survival=15.848%, return=359.03777319192886
global_step=3549, length=232, survival=2.877%, return=-2.3092590272426605
global_step=3687, length=1268, survival=15.724%, return=262.4611715078354
global_step=3882, length=616, survival=7.639%, return=42.68887370824814
global_step=3918, length=504, survival=6.250%, return=164.96799370646477
