
[34m[1mwandb[39m[22m: [33mWARNING[39m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=10029, length=805, survival=9.983%, return=-0.5948953032493591
global_step=10041, length=523, survival=6.486%, return=1.176707237958908
global_step=10050, length=516, survival=6.399%, return=-0.8175781667232513
global_step=10056, length=983, survival=12.190%, return=-2.6070747673511505
global_step=10074, length=964, survival=11.954%, return=-1.1138168573379517
global_step=10098, length=686, survival=8.507%, return=0.6930581033229828
global_step=10104, length=128, survival=1.587%, return=-2.61198553442955
global_step=10143, length=820, survival=10.169%, return=1.5994129180908203
global_step=10158, length=20, survival=0.248%, return=3.147294372320175
global_step=10182, length=376, survival=4.663%, return=-0.012643963098526001
global_step=10194, length=1383, survival=17.150%, return=-1.8403016924858093
global_step=10206, length=474, survival=5.878%, return=9.91828154027462
global_step=10215, length=235, survival=2.914%, return=-1.7704754769802094
global_step=10224, length=244, survival=3.026%, return=1.075457900762558
global_step=10230, length=814, survival=10.094%, return=0.8585462272167206
global_step=10245, length=392, survival=4.861%, return=-0.843563586473465
global_step=10248, length=525, survival=6.510%, return=0.5465922057628632
global_step=10266, length=525, survival=6.510%, return=-1.235093206167221
global_step=10305, length=2548, survival=31.597%, return=2.0265695452690125
global_step=10311, length=441, survival=5.469%, return=10.656161189079285
global_step=10317, length=523, survival=6.486%, return=-1.8149953186511993
global_step=10326, length=1118, survival=13.864%, return=2.9782789200544357
global_step=10344, length=522, survival=6.473%, return=-0.1774250864982605
global_step=10362, length=522, survival=6.473%, return=-0.9358717203140259
global_step=10377, length=1267, survival=15.712%, return=215.8194813132286
global_step=10380, length=475, survival=5.890%, return=40.92508080601692
global_step=10383, length=294, survival=3.646%, return=2.8203146755695343
global_step=10395, length=518, survival=6.424%, return=-1.607106626033783
global_step=10407, length=523, survival=6.486%, return=-0.1300520896911621
global_step=10410, length=692, survival=8.581%, return=-1.3517479300498962
global_step=10416, length=804, survival=9.970%, return=-2.2363588213920593
global_step=10443, length=528, survival=6.548%, return=0.9578578770160675
global_step=10449, length=428, survival=5.308%, return=1.7640573680400848
global_step=10455, length=794, survival=9.846%, return=-2.607269287109375
global_step=10464, length=380, survival=4.712%, return=-2.2619867026805878
global_step=10509, length=982, survival=12.178%, return=5.4140030443668365
global_step=10512, length=517, survival=6.411%, return=-3.0
global_step=10515, length=1095, survival=13.579%, return=2.8562673032283783
global_step=10518, length=392, survival=4.861%, return=-2.389569938182831
global_step=10527, length=234, survival=2.902%, return=-2.341954618692398
global_step=10536, length=998, survival=12.376%, return=-0.08009335398674011
global_step=10548, length=814, survival=10.094%, return=0.26898401975631714
global_step=10551, length=237, survival=2.939%, return=-0.60930535197258
global_step=10554, length=957, survival=11.868%, return=-2.530991941690445
global_step=10563, length=808, survival=10.020%, return=-1.8772081434726715
global_step=10569, length=231, survival=2.865%, return=-2.6597995162010193
global_step=10578, length=1013, survival=12.562%, return=2.674801856279373
global_step=10581, length=511, survival=6.337%, return=-3.0
global_step=10584, length=1256, survival=15.575%, return=0.47415053844451904
global_step=10614, length=403, survival=4.998%, return=0.9236820340156555
global_step=10617, length=811, survival=10.057%, return=-3.0
global_step=10626, length=486, survival=6.027%, return=46.37228222191334
global_step=10629, length=398, survival=4.936%, return=4.479166805744171
global_step=10656, length=1104, survival=13.690%, return=1.4256324768066406
global_step=10677, length=707, survival=8.767%, return=1.526592954993248
global_step=10686, length=2414, survival=29.936%, return=1.983714073896408
global_step=10719, length=781, survival=9.685%, return=1.1745394170284271
global_step=10728, length=802, survival=9.945%, return=-2.23565611243248
global_step=10743, length=408, survival=5.060%, return=0.11667996644973755
global_step=10761, length=807, survival=10.007%, return=-0.8483219742774963
global_step=10770, length=527, survival=6.535%, return=0.21866637468338013
global_step=10776, length=383, survival=4.750%, return=-2.685254454612732
global_step=10818, length=531, survival=6.585%, return=1.9845760464668274
global_step=10860, length=527, survival=6.535%, return=2.321504920721054
global_step=10875, length=1025, survival=12.711%, return=16.55647675693035
global_step=10881, length=1538, survival=19.072%, return=344.88664361834526
global_step=10884, length=402, survival=4.985%, return=-2.1629672944545746
global_step=10890, length=230, survival=2.852%, return=-2.210243433713913
global_step=10902, length=815, survival=10.107%, return=-0.7819085419178009
global_step=10908, length=1096, survival=13.591%, return=-0.9151571691036224
global_step=10911, length=973, survival=12.066%, return=-3.0
global_step=10938, length=721, survival=8.941%, return=4.127258449792862
global_step=10962, length=298, survival=3.695%, return=-0.19329091906547546
global_step=10965, length=813, survival=10.082%, return=384.74730506539345
global_step=10968, length=388, survival=4.812%, return=-2.582016497850418
global_step=10983, length=143, survival=1.773%, return=-1.0389644503593445
global_step=10998, length=521, survival=6.461%, return=0.7946812808513641
global_step=11010, length=810, survival=10.045%, return=-1.7585820853710175
global_step=11016, length=818, survival=10.144%, return=2.801149904727936
global_step=11025, length=160, survival=1.984%, return=8.692606568336487
global_step=11028, length=801, survival=9.933%, return=-1.7590260207653046
