global_step=10, length=953, survival=11.818%, return=-3.0
global_step=20, length=700, survival=8.681%, return=-2.578374147415161
global_step=30, length=685, survival=8.495%, return=-2.5943436324596405
global_step=40, length=1089, survival=13.504%, return=-2.591149091720581
global_step=50, length=519, survival=6.436%, return=-2.279711574316025
global_step=60, length=236, survival=2.927%, return=110.21915605664253
global_step=70, length=803, survival=9.958%, return=-2.1851832270622253
global_step=80, length=1381, survival=17.125%, return=-2.648192673921585
global_step=90, length=293, survival=3.633%, return=-2.207283079624176
global_step=100, length=810, survival=10.045%, return=-2.254689782857895
global_step=130, length=521, survival=6.461%, return=-1.5167074501514435
global_step=140, length=1100, survival=13.641%, return=455.7268844693899
global_step=150, length=402, survival=4.985%, return=0.07429851591587067
global_step=160, length=396, survival=4.911%, return=-3.0
global_step=170, length=1092, survival=13.542%, return=-2.7905670553445816
global_step=180, length=409, survival=5.072%, return=-1.3149873912334442
global_step=190, length=11, survival=0.136%, return=0.7683193683624268
global_step=200, length=809, survival=10.032%, return=-0.9557802379131317
global_step=210, length=714, survival=8.854%, return=-2.1782289147377014
global_step=220, length=817, survival=10.131%, return=-0.3181510418653488
global_step=230, length=798, survival=9.896%, return=-1.440598726272583
global_step=240, length=683, survival=8.470%, return=-2.5568310618400574
global_step=260, length=518, survival=6.424%, return=-2.5891056060791016
global_step=270, length=518, survival=6.424%, return=-3.0
global_step=280, length=1095, survival=13.579%, return=-1.647825449705124
global_step=290, length=962, survival=11.930%, return=-0.38195106387138367
global_step=300, length=520, survival=6.448%, return=243.13994699716568
global_step=310, length=696, survival=8.631%, return=-1.4710087478160858
global_step=320, length=1079, survival=13.380%, return=-3.0
global_step=340, length=521, survival=6.461%, return=-2.0277077555656433
global_step=370, length=1104, survival=13.690%, return=529.2537567019463
global_step=380, length=961, survival=11.917%, return=-0.8577375710010529
global_step=390, length=522, survival=6.473%, return=-0.9946898818016052
global_step=400, length=411, survival=5.097%, return=-1.0865693986415863
global_step=410, length=1088, survival=13.492%, return=-3.0
global_step=420, length=241, survival=2.989%, return=0.8737903535366058
global_step=430, length=480, survival=5.952%, return=-1.3231788575649261
global_step=450, length=397, survival=4.923%, return=-2.4944091737270355
global_step=460, length=529, survival=6.560%, return=-0.48882655799388885
global_step=470, length=521, survival=6.461%, return=-1.5911457538604736
global_step=480, length=7, survival=0.087%, return=-1.0290076434612274
global_step=490, length=368, survival=4.563%, return=-3.0
global_step=500, length=730, survival=9.053%, return=0.5471157729625702
global_step=510, length=674, survival=8.358%, return=-2.700584053993225
global_step=520, length=232, survival=2.877%, return=-2.6622979640960693
global_step=550, length=376, survival=4.663%, return=-1.7408146262168884
