[34m[1mwandb[0m: [33mWARNING[0m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=14, length=1253, survival=15.538%, return=263.9474477469921
global_step=18, length=9, survival=0.112%, return=0.047546565532684326
global_step=22, length=802, survival=9.945%, return=-2.654902070760727
global_step=24, length=1382, survival=17.138%, return=-2.333670824766159
global_step=26, length=517, survival=6.411%, return=-3.0
global_step=30, length=810, survival=10.045%, return=-2.5654172897338867
global_step=42, length=688, survival=8.532%, return=-0.4994196593761444
global_step=48, length=519, survival=6.436%, return=-2.2224487364292145
global_step=56, length=695, survival=8.619%, return=-1.8557107746601105
global_step=62, length=1081, survival=13.405%, return=-2.0937967896461487
global_step=72, length=1093, survival=13.554%, return=0.5548329651355743
global_step=74, length=373, survival=4.625%, return=-3.0
global_step=82, length=414, survival=5.134%, return=0.7115066051483154
global_step=92, length=1092, survival=13.542%, return=-1.486079454421997
global_step=96, length=966, survival=11.979%, return=0.14571413397789001
global_step=100, length=4, survival=0.050%, return=-1.8733877837657928
global_step=104, length=990, survival=12.277%, return=-1.7352716028690338
global_step=108, length=371, survival=4.601%, return=-1.872363656759262
global_step=110, length=396, survival=4.911%, return=-2.174434930086136
global_step=114, length=993, survival=12.314%, return=-2.1256051659584045
global_step=120, length=484, survival=6.002%, return=-1.544591635465622
global_step=130, length=807, survival=10.007%, return=-1.4349415004253387
global_step=144, length=816, survival=10.119%, return=134.93993991613388
global_step=148, length=525, survival=6.510%, return=-2.629844456911087
global_step=160, length=958, survival=11.880%, return=-1.3365590572357178
global_step=166, length=696, survival=8.631%, return=-0.425823837518692
global_step=168, length=809, survival=10.032%, return=-1.9422754049301147
global_step=174, length=4, survival=0.050%, return=-1.9770962595939636
global_step=176, length=523, survival=6.486%, return=-1.896098256111145
global_step=186, length=724, survival=8.978%, return=-1.4386485815048218
global_step=194, length=970, survival=12.029%, return=-1.730811357498169
global_step=200, length=513, survival=6.362%, return=-2.229761451482773
global_step=210, length=524, survival=6.498%, return=-1.5473544299602509
global_step=216, length=412, survival=5.109%, return=-0.36836154758930206
global_step=222, length=519, survival=6.436%, return=-0.9732654392719269
global_step=230, length=815, survival=10.107%, return=-0.7199551463127136
global_step=234, length=237, survival=2.939%, return=-1.2713281214237213
global_step=246, length=686, survival=8.507%, return=-0.13513904809951782
global_step=248, length=520, survival=6.448%, return=-3.0
global_step=252, length=812, survival=10.069%, return=-0.17078834772109985
global_step=256, length=515, survival=6.386%, return=-1.9962838292121887
global_step=258, length=434, survival=5.382%, return=-2.3099992275238037
global_step=264, length=804, survival=9.970%, return=-2.3248179256916046
global_step=266, length=678, survival=8.408%, return=-1.3624665141105652
global_step=272, length=675, survival=8.371%, return=-2.7848824560642242
global_step=278, length=238, survival=2.951%, return=-2.2646796107292175
global_step=282, length=230, survival=2.852%, return=-2.6663822531700134
global_step=284, length=499, survival=6.188%, return=-3.0
global_step=288, length=493, survival=6.114%, return=-0.2512580454349518
global_step=298, length=391, survival=4.849%, return=-1.5953373610973358
global_step=312, length=413, survival=5.122%, return=-0.691602885723114
global_step=314, length=432, survival=5.357%, return=5.462149441242218
global_step=316, length=796, survival=9.871%, return=-2.6038395762443542
global_step=320, length=810, survival=10.045%, return=-2.1168873608112335
global_step=334, length=425, survival=5.270%, return=0.21486076712608337
