global_step=5, length=400, survival=4.960%, return=-3.0
[34m[1mwandb[0m: [33mWARNING[0m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=10, length=392, survival=4.861%, return=-3.0
global_step=15, length=701, survival=8.693%, return=-2.2073725759983063
global_step=20, length=1095, survival=13.579%, return=-2.327740266919136
global_step=25, length=5, survival=0.062%, return=-1.5529150664806366
global_step=30, length=1380, survival=17.113%, return=-3.0
global_step=40, length=518, survival=6.424%, return=-2.7053422331809998
global_step=45, length=809, survival=10.032%, return=-3.0
global_step=55, length=683, survival=8.470%, return=-2.590809255838394
global_step=65, length=518, survival=6.424%, return=-2.5811378359794617
global_step=70, length=805, survival=9.983%, return=-1.7346073240041733
global_step=75, length=6, survival=0.074%, return=-1.2739095985889435
global_step=80, length=231, survival=2.865%, return=-3.0
global_step=85, length=810, survival=10.045%, return=-2.2250931560993195
global_step=95, length=403, survival=4.998%, return=-2.654632657766342
global_step=105, length=700, survival=8.681%, return=0.3941073715686798
global_step=110, length=1079, survival=13.380%, return=-3.0
global_step=115, length=404, survival=5.010%, return=-3.0
global_step=120, length=1086, survival=13.467%, return=-1.4567383527755737
global_step=130, length=374, survival=4.638%, return=-2.675438791513443
global_step=140, length=728, survival=9.028%, return=-0.7010453119874
global_step=150, length=1094, survival=13.566%, return=-1.1024037301540375
global_step=155, length=1097, survival=13.604%, return=-0.8095262050628662
global_step=160, length=967, survival=11.992%, return=-2.6256627440452576
global_step=165, length=3, survival=0.037%, return=-2.3395336866378784
global_step=170, length=795, survival=9.859%, return=-2.6411519050598145
global_step=180, length=522, survival=6.473%, return=-1.4106293618679047
global_step=185, length=1093, survival=13.554%, return=-3.0
global_step=205, length=375, survival=4.650%, return=-0.7156821489334106
global_step=210, length=972, survival=12.054%, return=2.819098711013794
global_step=225, length=433, survival=5.370%, return=-1.9199885725975037
global_step=240, length=7, survival=0.087%, return=-0.8526967167854309
global_step=250, length=994, survival=12.326%, return=-0.28087317943573
global_step=260, length=719, survival=8.916%, return=-2.5240102410316467
global_step=275, length=802, survival=9.945%, return=-1.627964437007904
global_step=280, length=820, survival=10.169%, return=-0.3076058328151703
global_step=285, length=1006, survival=12.475%, return=3.029487192630768
global_step=290, length=519, survival=6.436%, return=-1.0393798053264618
global_step=295, length=521, survival=6.461%, return=-2.5974887013435364
global_step=300, length=519, survival=6.436%, return=-2.587755709886551
global_step=310, length=526, survival=6.523%, return=-2.206570327281952
global_step=320, length=954, survival=11.830%, return=-2.551644206047058
global_step=325, length=371, survival=4.601%, return=-3.0
global_step=340, length=810, survival=10.045%, return=-1.2729845941066742
global_step=355, length=986, survival=12.227%, return=0.3820876181125641
global_step=365, length=524, survival=6.498%, return=-1.5468811392784119
global_step=370, length=705, survival=8.743%, return=-2.338177651166916
global_step=380, length=517, survival=6.411%, return=-1.7902432978153229
global_step=385, length=517, survival=6.411%, return=-3.0
global_step=390, length=529, survival=6.560%, return=-0.380889356136322
global_step=400, length=1011, survival=12.537%, return=137.1755891740322
global_step=415, length=7, survival=0.087%, return=-0.7962926626205444
global_step=425, length=515, survival=6.386%, return=-2.564650297164917
global_step=430, length=1098, survival=13.616%, return=-0.4347723722457886
global_step=435, length=697, survival=8.643%, return=0.11351314187049866
global_step=440, length=975, survival=12.091%, return=0.5243315398693085
global_step=450, length=1088, survival=13.492%, return=-2.2088677287101746
global_step=455, length=5, survival=0.062%, return=-1.5124862790107727
global_step=460, length=514, survival=6.374%, return=-1.9539814591407776
global_step=465, length=1096, survival=13.591%, return=-0.899363249540329
global_step=470, length=1, survival=0.012%, return=-3.0
global_step=485, length=425, survival=5.270%, return=0.3888354003429413
global_step=490, length=412, survival=5.109%, return=0.16505330801010132
global_step=495, length=388, survival=4.812%, return=-1.1166664958000183
global_step=500, length=810, survival=10.045%, return=-2.5693687200546265
global_step=505, length=964, survival=11.954%, return=-2.6244508624076843
global_step=510, length=512, survival=6.349%, return=-3.0
global_step=515, length=527, survival=6.535%, return=-1.4208645224571228
global_step=520, length=964, survival=11.954%, return=-2.824680745601654
global_step=530, length=684, survival=8.482%, return=-1.3085101544857025
global_step=535, length=520, survival=6.448%, return=-3.0
global_step=550, length=418, survival=5.184%, return=-1.0404037833213806
global_step=555, length=532, survival=6.597%, return=1.3796075284481049
global_step=580, length=519, survival=6.436%, return=-1.128457933664322
global_step=595, length=436, survival=5.407%, return=3.1957979053258896
global_step=615, length=525, survival=6.510%, return=0.18588781356811523
global_step=625, length=529, survival=6.560%, return=2.5569266378879547
global_step=630, length=674, survival=8.358%, return=-3.0
global_step=645, length=675, survival=8.371%, return=-2.135679602622986
global_step=650, length=236, survival=2.927%, return=-3.0
global_step=655, length=799, survival=9.908%, return=-2.6569240987300873
global_step=660, length=412, survival=5.109%, return=-2.618106484413147
global_step=685, length=11, survival=0.136%, return=0.4309220612049103
global_step=690, length=531, survival=6.585%, return=1.5162664651870728
global_step=695, length=814, survival=10.094%, return=-1.1555156260728836
global_step=720, length=524, survival=6.498%, return=0.5655980855226517
global_step=735, length=435, survival=5.394%, return=-2.3719774186611176
global_step=740, length=822, survival=10.193%, return=3.1961930096149445
global_step=745, length=432, survival=5.357%, return=-3.0
global_step=750, length=1261, survival=15.637%, return=-1.700666457414627
global_step=760, length=804, survival=9.970%, return=-2.338959902524948
global_step=770, length=1666, survival=20.660%, return=323.5506788790226
global_step=780, length=481, survival=5.965%, return=-2.6034165620803833
global_step=800, length=523, survival=6.486%, return=-1.8823059499263763
global_step=820, length=986, survival=12.227%, return=0.9623415470123291
global_step=825, length=229, survival=2.840%, return=-3.0
global_step=830, length=378, survival=4.688%, return=-1.0673580467700958
global_step=835, length=500, survival=6.200%, return=-2.602555215358734
global_step=855, length=726, survival=9.003%, return=2.0715878158807755
global_step=860, length=508, survival=6.300%, return=4.147254467010498
global_step=870, length=989, survival=12.264%, return=-1.6223222017288208
global_step=875, length=134, survival=1.662%, return=-0.6203404664993286
global_step=890, length=381, survival=4.725%, return=-2.7621171474456787
global_step=900, length=499, survival=6.188%, return=1.117012470960617
global_step=910, length=387, survival=4.799%, return=-2.561776965856552
global_step=915, length=530, survival=6.572%, return=0.3883433938026428
global_step=945, length=1679, survival=20.821%, return=551.6011606752872
global_step=950, length=408, survival=5.060%, return=-3.0
global_step=955, length=397, survival=4.923%, return=0.3504764437675476
global_step=960, length=810, survival=10.045%, return=-2.6376957297325134
global_step=975, length=524, survival=6.498%, return=0.55170077085495
global_step=985, length=527, survival=6.535%, return=2.0171572268009186
