2025-04-16 15:55:45,701 INFO    MainThread:22520 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-16 15:55:45,708 INFO    MainThread:22520 [wandb_setup.py:_flush():67] Configure stats pid to 22520
2025-04-16 15:55:45,708 INFO    MainThread:22520 [wandb_setup.py:_flush():67] Loading settings from C:\Users\admin\.config\wandb\settings
2025-04-16 15:55:45,708 INFO    MainThread:22520 [wandb_setup.py:_flush():67] Loading settings from C:\Users\admin\Grid2Op\RL2Grid_Template\RL2Grid\wandb\settings
2025-04-16 15:55:45,708 INFO    MainThread:22520 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-16 15:55:45,708 INFO    MainThread:22520 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\admin\Grid2Op\RL2Grid_Template\RL2Grid\wandb\run-20250416_155545-DQN_bus14_TENSOR_CHECKPOINT_42_0_1744793702_9720\logs\debug.log
2025-04-16 15:55:45,708 INFO    MainThread:22520 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\admin\Grid2Op\RL2Grid_Template\RL2Grid\wandb\run-20250416_155545-DQN_bus14_TENSOR_CHECKPOINT_42_0_1744793702_9720\logs\debug-internal.log
2025-04-16 15:55:45,718 INFO    MainThread:22520 [wandb_init.py:init():761] calling init triggers
2025-04-16 15:55:45,718 INFO    MainThread:22520 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'time_limit': 4000.0, 'checkpoint': True, 'resume_run_name': '', 'additional_timesteps': 4000, 'alg': 'DQN', 'seed': 42, 'verbose': True, 'exp_tag': 'TENSOR_CHECKPOINT', 'track': True, 'wandb_project': 'rl2grid_bugfinder', 'wandb_entity': '', 'wandb_mode': 'online', 'th_deterministic': False, 'cuda': True, 'n_threads': 4, 'env_id': 'bus14', 'n_envs': 5, 'action_type': 'topology', 'difficulty': 0, 'env_config_path': 'scenario.json', 'norm_obs': True, 'use_heuristic': True, 'total_timesteps': 4000, 'learning_starts': 20000, 'layers': [64, 64], 'act_fn': 'relu', 'lr': 0.00025, 'train_freq': 20, 'gamma': 0.9, 'tau': 1000.0, 'tg_qnet_freq': 1000, 'eps_start': 1.0, 'eps_end': 0.05, 'eps_decay_frac': 0.5, 'buffer_size': 500000, 'batch_size': 128, '_wandb': {}}
2025-04-16 15:55:45,718 INFO    MainThread:22520 [wandb_init.py:init():784] starting backend
2025-04-16 15:55:45,718 INFO    MainThread:22520 [wandb_init.py:init():788] sending inform_init request
2025-04-16 15:55:45,800 INFO    MainThread:22520 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-16 15:55:45,800 INFO    MainThread:22520 [wandb_init.py:init():798] backend started and connected
2025-04-16 15:55:45,802 INFO    MainThread:22520 [wandb_init.py:init():891] updated telemetry
2025-04-16 15:55:45,868 INFO    MainThread:22520 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-16 15:55:46,605 INFO    MainThread:22520 [wandb_init.py:init():990] starting run threads in backend
2025-04-16 15:55:47,175 INFO    MainThread:22520 [wandb_run.py:_console_start():2375] atexit reg
2025-04-16 15:55:47,175 INFO    MainThread:22520 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-16 15:55:47,176 INFO    MainThread:22520 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-16 15:55:47,176 INFO    MainThread:22520 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-16 15:55:47,182 INFO    MainThread:22520 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-16 15:55:47,182 INFO    MainThread:22520 [wandb_run.py:_tensorboard_callback():1449] tensorboard callback: runs/DQN_bus14_TENSOR_CHECKPOINT_42_0_1744793702_9720, True
2025-04-16 16:02:22,754 INFO    MsgRouterThr:22520 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
