[34m[1mwandb[0m: [33mWARNING[0m Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global steps=750, length=8064, survival=100.000%, return=1453.985506781377
global steps=1370, length=8064, survival=100.000%, return=1500.6689726433524
global steps=2600, length=8064, survival=100.000%, return=1348.0319603066891
global steps=2924, length=8064, survival=100.000%, return=1425.413250433281
global steps=3880, length=8064, survival=100.000%, return=1546.3284683423117
global steps=4704, length=8064, survival=100.000%, return=1322.4856129009277
global steps=5374, length=8064, survival=100.000%, return=1505.4299231888726
global steps=5726, length=8064, survival=100.000%, return=1429.5184836350381
global steps=6942, length=8064, survival=100.000%, return=1573.8515647281893
global steps=7400, length=8064, survival=100.000%, return=1414.3435725113377
global steps=8074, length=6755, survival=83.767%, return=1279.7664868724532
global steps=9026, length=8064, survival=100.000%, return=1478.815880190581
global steps=10618, length=8064, survival=100.000%, return=1212.6067116018385
global steps=10672, length=8064, survival=100.000%, return=1380.2353154821321
global steps=11262, length=8064, survival=100.000%, return=1529.6029171464033
global steps=11466, length=8064, survival=100.000%, return=1541.192207780201
global steps=12674, length=8064, survival=100.000%, return=1479.5693997703493
global steps=12914, length=8064, survival=100.000%, return=1416.0365659054369
global steps=13766, length=8064, survival=100.000%, return=1462.5826926641166
global steps=14656, length=8064, survival=100.000%, return=1501.5918622142635
global steps=14796, length=8064, survival=100.000%, return=1479.3430103259361
global steps=15566, length=5296, survival=65.675%, return=748.3054254301824
global steps=16024, length=7435, survival=92.200%, return=1429.0631658923812
global steps=16732, length=8064, survival=100.000%, return=1502.7327992841601
global steps=17334, length=8064, survival=100.000%, return=1478.7075335681438
global steps=19044, length=8064, survival=100.000%, return=1377.3039734391496
global steps=19732, length=8064, survival=100.000%, return=1314.7100023012608
global steps=20800, length=8064, survival=100.000%, return=1482.366052926518
global steps=20806, length=8064, survival=100.000%, return=1477.3998558768071
global steps=21976, length=8064, survival=100.000%, return=1630.8920868885307
global steps=22214, length=2822, survival=34.995%, return=386.1286121373996
global steps=22232, length=8064, survival=100.000%, return=1480.4071772340685
global steps=23470, length=8064, survival=100.000%, return=1600.3913041846827
global steps=23544, length=4992, survival=61.905%, return=661.0481555834413
global steps=24510, length=8064, survival=100.000%, return=1576.1314744171686
global steps=25770, length=8064, survival=100.000%, return=1343.259590860922
global steps=25952, length=8064, survival=100.000%, return=1529.7691187539604
global steps=26952, length=8064, survival=100.000%, return=1433.5997422523797
global steps=27038, length=687, survival=8.519%, return=32.58261279202998
global steps=27512, length=8064, survival=100.000%, return=1465.0866658119485
global steps=28614, length=8064, survival=100.000%, return=1521.5402945606038
global steps=29010, length=8064, survival=100.000%, return=1303.2382214264944
global steps=29914, length=8064, survival=100.000%, return=1553.8908887240104
global steps=30146, length=8064, survival=100.000%, return=1340.5504719102755
global steps=31376, length=8064, survival=100.000%, return=1567.4596122596413
global steps=32158, length=6449, survival=79.973%, return=1159.8319272352383
global steps=32692, length=8064, survival=100.000%, return=1379.028569805203
global steps=34072, length=8064, survival=100.000%, return=1513.8317285804078
global steps=34284, length=7298, survival=90.501%, return=1350.4712218535133
global steps=34520, length=3063, survival=37.984%, return=453.15308573888615
global steps=35218, length=8064, survival=100.000%, return=1592.3593436665833
global steps=35588, length=8064, survival=100.000%, return=1508.115861715749
global steps=36456, length=8064, survival=100.000%, return=1605.7467688131146
global steps=36678, length=1313, survival=16.282%, return=138.6951115480624
global steps=37814, length=8064, survival=100.000%, return=1431.7263303017244
global steps=39084, length=8064, survival=100.000%, return=1396.8911408428103
global steps=39408, length=8064, survival=100.000%, return=1366.255392423831
SPS=35
global steps=41278, length=8064, survival=100.000%, return=1248.7300814483315
global steps=41794, length=8064, survival=100.000%, return=1520.19143894827
global steps=43006, length=8064, survival=100.000%, return=1540.5621038363315
global steps=43516, length=8064, survival=100.000%, return=1490.8020164417103
global steps=44444, length=8064, survival=100.000%, return=1432.8722662469372
global steps=46158, length=8064, survival=100.000%, return=1344.9211768265814
global steps=46408, length=8064, survival=100.000%, return=1418.0498890057206
global steps=47914, length=8064, survival=100.000%, return=1474.698184499517
global steps=48014, length=8064, survival=100.000%, return=1441.9596841419116
global steps=49296, length=8064, survival=100.000%, return=1382.8832988683134
global steps=49320, length=8064, survival=100.000%, return=1414.7588161174208
global steps=50638, length=8064, survival=100.000%, return=1578.8241895013489
global steps=50864, length=8064, survival=100.000%, return=1443.3151286840439
global steps=52216, length=8064, survival=100.000%, return=1490.4774237507954
